profile,source_center,destination_center,recommendation,ETA_FTL,ETA_Carting,Time_Saved,Net_Benefit_INR,trip_count,pct_delayed,median_factor,Total_Excess_Min
CHRONIC DELAY — Monitor,IND425409AAA,IND424006AAA,CARTING,903.8,862.0,-41.7,-0.8,1,1.0,12.081,820.0
CHRONIC DELAY — Monitor,IND431127AAA,IND414502AAA,CARTING,244.3,231.4,-13.0,-0.2,21,1.0,2.095,820.0
CHRONIC DELAY — Monitor,IND413531AAA,IND413517AAA,CARTING,265.3,17.8,-247.5,-0.1,26,1.0,2.083,819.0
CHRONIC DELAY — Monitor,IND341505AAA,IND341503AAB,CARTING,417.2,327.3,-89.9,-0.3,18,0.667,1.292,815.0
CHRONIC DELAY — Monitor,IND691305AAA,IND689645AAA,CARTING,206.7,60.1,-146.7,-0.1,33,1.0,2.364,815.0
CHRONIC DELAY — Monitor,IND673121AAA,IND670645AAB,CARTING,189.2,43.6,-145.6,-0.1,24,1.0,2.279,814.0
CHRONIC DELAY — Monitor,IND741123AAB,IND741126AAB,CARTING,164.8,41.0,-123.8,-0.1,31,1.0,2.474,814.0
CHRONIC DELAY — Monitor,IND431136AAC,IND431001AAA,CARTING,135.2,47.9,-87.3,-0.1,24,0.875,2.211,812.0
CHRONIC DELAY — Monitor,IND110044AAB,IND201007AAA,CARTING,212.9,134.4,-78.5,-0.1,21,1.0,2.375,806.0
CHRONIC DELAY — Monitor,IND302014AAB,IND302026AAA,CARTING,239.4,42.2,-197.2,-0.1,26,1.0,2.125,800.0
CHRONIC DELAY — Monitor,IND500039AAD,IND501359AAE,CARTING,191.2,24.5,-166.8,-0.1,24,0.833,2.083,795.0
CHRONIC DELAY — Monitor,IND641011AAA,IND641062AAD,CARTING,206.2,68.5,-137.7,-0.1,16,0.938,2.125,793.0
CHRONIC DELAY — Monitor,IND583201AAA,IND583227AAA,CARTING,191.6,43.6,-148.0,-0.1,33,0.97,2.0,790.0
CHRONIC DELAY — Monitor,IND487551AAA,IND464668AAA,CARTING,334.9,325.4,-9.5,-0.3,12,0.917,1.904,775.0
CHRONIC DELAY — Monitor,IND413002AAA,IND413304AAA,CARTING,288.5,41.7,-246.8,-0.1,29,1.0,2.0,772.0
CHRONIC DELAY — Monitor,IND560300AAB,IND563130AAA,CARTING,174.1,57.1,-117.0,-0.1,30,0.967,1.9,769.0
CHRONIC DELAY — Monitor,IND742102AAB,IND731237AAB,CARTING,169.8,60.6,-109.1,-0.1,20,1.0,2.819,765.0
CHRONIC DELAY — Monitor,IND843126AAA,IND842001AAA,CARTING,219.8,61.9,-158.0,-0.1,16,1.0,2.688,762.0
CHRONIC DELAY — Monitor,IND110037AAM,IND110024AAA,CARTING,236.0,55.4,-180.5,-0.1,25,0.92,2.5,756.0
CHRONIC DELAY — Monitor,IND560099AAB,IND560085AAA,CARTING,198.6,42.6,-156.0,-0.1,24,0.75,2.267,751.0
CHRONIC DELAY — Monitor,IND380006AAB,IND382430AAB,CARTING,192.9,20.8,-172.1,-0.1,30,1.0,2.804,750.0
CHRONIC DELAY — Monitor,IND781124AAA,IND781018AAB,CARTING,217.4,61.8,-155.6,-0.1,7,1.0,2.6,746.0
CHRONIC DELAY — Monitor,IND110020AAB,IND110037AAM,CARTING,219.2,72.0,-147.2,-0.1,7,1.0,2.462,741.0
CHRONIC DELAY — Monitor,IND421302AAR,IND421004AAA,CARTING,189.3,67.4,-121.9,-0.1,26,0.923,3.311,741.0
CHRONIC DELAY — Monitor,IND583231AAA,IND583201AAA,CARTING,169.5,10.4,-159.1,-0.1,30,1.0,2.536,737.0
CHRONIC DELAY — Monitor,IND700026AAC,IND712311AAA,CARTING,178.4,53.1,-125.4,-0.1,7,1.0,4.087,735.0
CHRONIC DELAY — Monitor,IND842001AAA,IND845412AAB,CARTING,203.4,179.5,-23.9,-0.2,23,0.957,2.235,734.0
CHRONIC DELAY — Monitor,IND211002AAB,IND211013AAA,CARTING,189.8,60.1,-129.7,-0.1,14,1.0,5.31,727.0
CHRONIC DELAY — Monitor,IND401104AAA,IND421302AAG,CARTING,178.6,29.1,-149.4,-0.1,21,1.0,2.357,723.0
CHRONIC DELAY — Monitor,IND721602AAB,IND721139AAC,CARTING,223.2,169.0,-54.2,-0.1,23,0.783,1.476,720.0
CHRONIC DELAY — Monitor,IND245101AAA,IND245304AAA,CARTING,208.9,60.3,-148.6,-0.1,30,0.767,2.384,717.0
CHRONIC DELAY — Monitor,IND700028AAB,IND712311AAA,CARTING,240.7,35.0,-205.7,-0.1,15,1.0,3.5,715.0
CHRONIC DELAY — Monitor,IND400072AAB,IND421302AAR,CARTING,190.8,51.8,-139.0,-0.1,32,1.0,1.919,713.0
CHRONIC DELAY — Monitor,IND500050AAA,IND501218AAC,CARTING,151.7,113.8,-37.9,-0.1,9,0.889,1.667,705.0
CHRONIC DELAY — Monitor,IND515201AAA,IND515301AAA,CARTING,198.2,34.5,-163.7,-0.1,33,1.0,2.286,704.0
CHRONIC DELAY — Monitor,IND742149AAA,IND742148AAA,CARTING,120.8,56.7,-64.2,-0.1,27,0.963,3.143,699.0
CHRONIC DELAY — Monitor,IND134109AAA,IND160002AAC,CARTING,205.0,20.1,-184.9,-0.1,29,0.586,1.273,698.0
CHRONIC DELAY — Monitor,IND421302AAR,IND421301AAA,CARTING,175.6,33.7,-141.9,-0.1,19,1.0,4.5,693.0
CHRONIC DELAY — Monitor,IND792001AAA,IND786001AAB,CARTING,302.6,45.2,-257.4,-0.1,11,0.909,2.2,692.0
CHRONIC DELAY — Monitor,IND723130AAA,IND723131AAA,CARTING,565.3,331.6,-233.8,-0.3,5,0.6,1.28,687.0
CHRONIC DELAY — Monitor,IND742121AAA,IND742101AAC,CARTING,206.6,76.8,-129.9,-0.1,11,1.0,3.4,687.0
CHRONIC DELAY — Monitor,IND110037AAM,IND110020AAB,CARTING,190.6,71.3,-119.3,-0.1,13,1.0,3.0,684.0
CHRONIC DELAY — Monitor,IND425508AAB,IND450331AAA,CARTING,169.6,11.3,-158.3,-0.1,28,0.964,2.5,682.0
CHRONIC DELAY — Monitor,IND607801AAA,IND606003AAA,CARTING,166.0,51.0,-114.9,-0.1,34,0.971,2.155,681.0
CHRONIC DELAY — Monitor,IND829122AAA,IND825301AAA,CARTING,206.0,184.1,-21.9,-0.2,21,0.952,1.8,680.0
CHRONIC DELAY — Monitor,IND585104AAA,IND585314AAA,CARTING,201.0,54.3,-146.7,-0.1,20,0.75,1.688,679.0
CHRONIC DELAY — Monitor,IND415605AAA,IND415709AAA,CARTING,229.8,216.2,-13.5,-0.1,22,1.0,2.049,674.0
CHRONIC DELAY — Monitor,IND401501AAA,IND401602AAA,CARTING,190.4,58.8,-131.6,-0.1,29,1.0,2.333,673.0
CHRONIC DELAY — Monitor,IND431603AAA,IND413517AAA,CARTING,249.4,61.6,-187.8,-0.1,10,1.0,2.437,668.0
CHRONIC DELAY — Monitor,IND400072AAC,IND400011AAA,CARTING,201.4,59.8,-141.6,-0.1,24,1.0,2.733,666.0
CHRONIC DELAY — Monitor,IND209206AAB,IND210301AAA,CARTING,175.5,33.2,-142.2,-0.1,33,0.97,2.333,653.0
CHRONIC DELAY — Monitor,IND424201AAA,IND424006AAA,CARTING,992.3,887.7,-104.6,-0.7,1,1.0,10.552,640.0
CHRONIC DELAY — Monitor,IND302006AAA,IND302014AAB,CARTING,242.9,56.2,-186.7,-0.1,17,1.0,3.0,639.0
CHRONIC DELAY — Monitor,IND431514AAA,IND431515AAA,CARTING,228.1,186.8,-41.3,-0.1,30,0.967,2.118,636.0
CHRONIC DELAY — Monitor,IND282001AAF,IND283122AAB,CARTING,163.6,58.0,-105.6,-0.1,34,0.882,2.161,631.0
CHRONIC DELAY — Monitor,IND365560AAA,IND365560AAB,CARTING,207.6,188.8,-18.7,-0.2,16,1.0,1.935,629.0
CHRONIC DELAY — Monitor,IND712311AAA,IND712410AAC,CARTING,358.7,321.2,-37.5,-0.3,6,1.0,3.908,623.0
CHRONIC DELAY — Monitor,IND201301AAD,IND110037AAM,CARTING,223.2,97.9,-125.3,-0.1,6,1.0,6.115,615.0
CHRONIC DELAY — Monitor,IND713205AAB,IND722101AAC,CARTING,240.3,65.4,-174.9,-0.1,19,0.947,1.7,614.0
CHRONIC DELAY — Monitor,IND631501AAA,IND631003AAA,CARTING,152.6,40.7,-111.9,-0.1,15,1.0,2.143,613.0
CHRONIC DELAY — Monitor,IND520011AAA,IND521185AAA,CARTING,183.8,45.7,-138.1,-0.1,27,0.926,1.667,610.0
CHRONIC DELAY — Monitor,IND581110AAE,IND577002AAA,CARTING,225.4,43.9,-181.5,-0.1,16,0.938,1.661,608.0
CHRONIC DELAY — Monitor,IND600119AAA,IND600016AAC,CARTING,190.6,60.9,-129.7,-0.1,9,1.0,2.632,603.0
CHRONIC DELAY — Monitor,IND403401AAA,IND403726AAB,CARTING,263.8,120.7,-143.1,-0.1,5,1.0,3.308,600.0
CHRONIC DELAY — Monitor,IND741126AAB,IND741156AAA,CARTING,165.5,10.3,-155.1,-0.1,32,0.969,2.417,598.0
CHRONIC DELAY — Monitor,IND413304AAA,IND413002AAA,CARTING,223.5,34.3,-189.2,-0.1,20,0.95,1.857,597.0
CHRONIC DELAY — Monitor,IND530012AAA,IND530043AAA,CARTING,209.6,55.8,-153.7,-0.1,20,0.95,2.106,597.0
CHRONIC DELAY — Monitor,IND641062AAD,IND643217AAA,CARTING,163.9,56.0,-108.0,-0.1,6,1.0,1.409,595.0
CHRONIC DELAY — Monitor,IND680587AAA,IND68004AAA,CARTING,271.6,44.9,-226.7,-0.1,23,1.0,1.786,592.0
CHRONIC DELAY — Monitor,IND586101AAA,IND416404AAA,CARTING,251.4,197.2,-54.3,-0.2,12,1.0,2.149,588.0
CHRONIC DELAY — Monitor,IND683511AAA,IND680012AAA,CARTING,221.8,78.3,-143.5,-0.1,30,0.567,1.229,587.0
CHRONIC DELAY — Monitor,IND000000AFR,IND683511AAA,CARTING,259.8,45.2,-214.6,-0.1,18,1.0,1.95,585.0
CHRONIC DELAY — Monitor,IND501359AAE,IND500039AAD,CARTING,163.0,111.7,-51.3,-0.1,18,0.944,2.148,585.0
CHRONIC DELAY — Monitor,IND560300AAA,IND563101AAB,CARTING,106.9,38.7,-68.2,-0.1,29,0.897,1.667,581.0
CHRONIC DELAY — Monitor,IND786190AAA,IND792103AAB,CARTING,172.1,10.6,-161.4,-0.1,23,0.913,1.875,580.0
CHRONIC DELAY — Monitor,IND742101AAC,IND713130AAA,CARTING,216.3,121.7,-94.6,-0.1,19,0.947,1.714,579.0
CHRONIC DELAY — Monitor,IND600110AAA,IND600056AAB,CARTING,240.7,21.5,-219.3,-0.1,24,0.917,1.692,578.0
CHRONIC DELAY — Monitor,IND731224AAA,IND742147AAA,CARTING,186.8,43.3,-143.6,-0.1,24,1.0,2.182,578.0
CHRONIC DELAY — Monitor,IND742226AAA,IND742101AAC,CARTING,254.4,45.9,-208.5,-0.1,16,0.812,1.959,577.0
CHRONIC DELAY — Monitor,IND600056AAB,IND631501AAA,CARTING,142.5,34.6,-107.9,-0.1,24,1.0,2.174,576.0
CHRONIC DELAY — Monitor,IND530026AAA,IND531036AAA,CARTING,197.6,56.9,-140.6,-0.1,16,1.0,2.111,574.0
CHRONIC DELAY — Monitor,IND424006AAA,IND452001AAC,CARTING,267.6,38.5,-229.1,-0.1,10,1.0,1.929,572.0
CHRONIC DELAY — Monitor,IND125005AAA,IND335523AAB,CARTING,387.8,352.6,-35.2,-0.3,5,0.8,2.0,571.0
CHRONIC DELAY — Monitor,IND421502AAA,IND421302AAR,CARTING,189.8,66.6,-123.2,-0.1,17,1.0,3.167,570.0
CHRONIC DELAY — Monitor,IND000000AFT,IND421302AAG,CARTING,161.1,15.8,-145.2,-0.1,17,0.941,2.3,565.0
CHRONIC DELAY — Monitor,IND302004AAA,IND302014AAB,CARTING,269.4,54.5,-214.9,-0.1,15,0.933,2.143,563.0
CHRONIC DELAY — Monitor,IND560002AAA,IND560099AAB,CARTING,222.7,22.0,-200.7,-0.1,29,0.724,1.562,559.0
CHRONIC DELAY — Monitor,IND400701AAA,IND410206AAA,CARTING,237.9,19.6,-218.4,-0.1,27,0.704,1.6,552.0
CHRONIC DELAY — Monitor,IND600076AAB,IND600032AAB,CARTING,211.0,30.4,-180.7,-0.1,26,1.0,2.5,549.0
CHRONIC DELAY — Monitor,IND786001AAB,IND786602AAA,CARTING,250.4,56.5,-193.9,-0.1,34,0.853,1.556,537.0
CHRONIC DELAY — Monitor,IND360575AAA,IND360510AAB,CARTING,241.5,57.4,-184.1,-0.1,31,0.806,1.5,536.0
CHRONIC DELAY — Monitor,IND462042AAA,IND462022AAA,CARTING,216.9,40.5,-176.4,-0.1,10,1.0,4.424,536.0
CHRONIC DELAY — Monitor,IND110037AAM,IND201007AAA,CARTING,239.8,60.6,-179.2,-0.1,18,0.833,2.117,534.0
CHRONIC DELAY — Monitor,IND742225AAA,IND742223AAA,CARTING,119.8,26.2,-93.6,-0.1,18,1.0,4.857,534.0
CHRONIC DELAY — Monitor,IND208019AAA,IND209304AAA,CARTING,246.6,104.7,-141.9,-0.1,7,0.857,3.222,530.0
