source_center,destination_center,median_segment_factor,mean_segment_factor,median_factor,trip_count,pct_delayed,median_actual_time,median_osrm_time,median_osrm_distance,total_excess_time,avg_excess_time,is_chronic_delay
IND614616AAA,IND630002AAA,1.5151515151515151,2.026638958369271,1.5303030303030303,20,1.0,45.0,31.5,31.09305,373.0,18.65,True
IND614620AAA,IND630561AAA,1.8333333333333333,2.186298399875986,1.9330357142857144,116,0.9913793103448276,12.0,7.0,10.03185,4540.0,39.13793103448276,True
IND614715AAA,IND614809AAA,1.8675213675213675,1.8926318512555396,1.2777777777777777,36,0.6666666666666666,17.0,12.0,14.81905,217.0,6.027777777777778,True
IND614804AAA,IND614616AAA,1.2692307692307692,1.6329914529914529,1.1851851851851851,21,0.5714285714285714,24.0,24.0,22.7387,122.0,5.809523809523809,True
IND614809AAA,IND610001AAA,1.7777777777777777,2.510537442233871,2.113636363636364,56,0.7857142857142857,17.0,9.0,10.2523,1928.0,34.42857142857143,True
IND620020AAA,IND621112AAA,1.875,1.9231894841269839,1.8660714285714284,48,0.8958333333333334,13.0,7.0,9.6631,436.0,9.083333333333334,True
IND621010AAA,IND621212AAA,1.56,1.7605422859968314,1.49,22,0.9545454545454546,29.0,18.5,20.138800000000003,370.0,16.818181818181817,True
IND621112AAA,IND620012AAA,6.458333333333333,6.458333333333333,6.458333333333333,1,1.0,155.0,24.0,22.6467,131.0,131.0,True
IND621211AAA,IND621010AAA,1.7727272727272727,1.6944388944388946,1.7727272727272727,13,0.9230769230769231,33.0,21.0,23.1531,206.0,15.846153846153847,True
IND621212AAA,IND621704AAA,1.6666666666666667,1.832415996701711,1.5454545454545454,21,0.8571428571428571,29.0,20.0,26.9563,304.0,14.476190476190476,True
IND621306AAA,IND625106AAA,1.1666666666666667,1.5420756769392385,1.1666666666666667,39,0.41025641025641024,28.0,25.0,24.0799,449.0,11.512820512820513,False
IND621704AAA,IND621802AAA,1.1262820512820513,1.1282135289342876,1.6518518518518517,24,0.375,32.0,27.0,22.645699999999998,471.0,19.625,False
IND621802AAA,IND608301AAA,2.555555555555556,2.390432098765432,2.555555555555556,9,1.0,42.0,17.0,24.2885,216.0,24.0,True
IND621802AAA,IND621212AAA,1.6666666666666667,1.7962962962962965,1.6046511627906976,3,1.0,33.0,21.0,27.1685,74.0,24.666666666666668,True
IND622407AAA,IND622001AAA,1.3846153846153846,1.4371060832171942,1.3846153846153846,18,0.8888888888888888,26.0,18.0,17.98535,226.0,12.555555555555555,True
IND623315AAB,IND614620AAA,1.55,1.6404735889110889,1.7142857142857142,48,0.7083333333333334,12.0,7.0,9.9207,583.0,12.145833333333334,True
IND623407AAA,IND623315AAB,1.1055555555555556,1.1273584054834054,1.04,24,0.16666666666666666,13.5,13.0,9.526,32.0,1.3333333333333333,False
IND623503AAA,IND623526AAA,0.92,1.06484222316927,0.8421052631578947,21,0.14285714285714285,25.0,29.0,22.5588,-161.0,-7.666666666666667,False
IND623526AAA,IND623704AAA,1.0,1.0323807501087907,1.1532395566922422,32,0.25,34.0,32.0,25.5185,339.0,10.59375,False
IND623701AAA,IND623503AAA,0.9852941176470589,1.1279719938343191,1.022695035460993,14,0.35714285714285715,30.0,26.0,21.4022,68.0,4.857142857142857,False
IND623704AAA,IND626607AAB,1.2153846153846155,1.2505119478333764,1.271780303030303,14,0.5,30.5,23.5,19.9906,158.0,11.285714285714286,True
IND624001AAA,IND624619AAA,1.4090909090909092,1.8048177426438297,1.434782608695652,15,0.6666666666666666,24.0,22.0,23.4502,165.0,11.0,True
IND624001AAA,IND625008AAA,1.4285714285714286,1.4520751792018636,1.38,23,0.8695652173913043,27.0,18.0,26.5074,354.0,15.391304347826088,True
IND624101AAA,IND624202AAA,0.7126470588235294,0.7592373846190661,0.6751872354281993,16,0.0625,47.0,60.0,28.01905,-511.0,-31.9375,False
IND624202AAA,IND625218AAA,1.5217391304347827,2.5752964426877467,1.5108695652173914,10,1.0,32.0,23.0,25.4703,115.0,11.5,True
IND624601AAA,IND624101AAA,0.7819548872180451,1.026415936139388,0.7744360902255639,23,0.2608695652173913,91.0,128.0,58.1994,-695.0,-30.217391304347824,False
IND624619AAA,IND624601AAA,1.4166666666666667,1.8915850815850817,1.25,11,0.8181818181818182,26.0,24.0,24.1577,76.0,6.909090909090909,True
IND625008AAA,IND626123AAA,2.0,2.0626037242188358,1.7411406423034328,36,1.0,34.0,17.0,25.01585,1080.0,30.0,True
IND625106AAA,IND625008AAA,1.7453703703703702,1.6725257703540197,1.737037037037037,26,0.8846153846153846,34.5,22.5,22.54035,647.0,24.884615384615383,True
IND625516AAA,IND685514AAA,1.8125,1.8528330249768732,1.8125,5,1.0,87.0,47.0,33.4105,201.0,40.2,True
IND625531AAA,IND625516AAA,1.2638888888888888,1.2851239566151846,1.2776679841897232,12,0.8333333333333334,29.0,23.0,20.96665,130.0,10.833333333333334,True
IND625532AAA,IND625531AAA,1.391304347826087,1.7180759153059293,1.391304347826087,9,0.6666666666666666,34.0,31.0,28.0422,140.0,15.555555555555555,True
IND625532AAA,IND685514AAA,1.6091617933723197,1.7353844681147312,1.7060160427807487,4,0.5,35.0,29.5,26.9309,274.0,68.5,True
IND626117AAA,IND626138AAA,1.24,1.2359480848369737,1.24,9,0.6666666666666666,32.0,25.0,20.7746,54.0,6.0,True
IND626123AAA,IND627756AAA,1.542997542997543,1.550204504223383,1.7831632653061225,24,1.0,46.0,30.5,30.9182,692.0,28.833333333333332,True
IND626138AAA,IND625008AAA,1.3,1.6107998786159705,1.5666666666666669,33,0.6060606060606061,32.0,27.0,23.6455,1061.0,32.15151515151515,True
IND626607AAB,IND625008AAA,1.4054054054054057,1.4009353737892696,1.576271186440678,15,0.8,36.0,23.0,28.6395,317.0,21.133333333333333,True
IND627005AAA,IND627117AAA,1.5894736842105264,1.715483022832599,1.5375,22,1.0,31.0,20.0,26.175800000000002,436.0,19.818181818181817,True
IND627005AAA,IND627811AAA,0.9142857142857143,1.6762141430646331,1.078301886792453,18,0.3888888888888889,28.0,33.0,22.6363,174.0,9.666666666666666,False
IND627005AAA,IND628801AAA,1.2361111111111112,1.2573715962686551,1.3647450110864745,60,0.55,12.5,11.0,11.822,878.0,14.633333333333333,True
IND627005AAA,IND629001AAA,2.0275,2.1322140522875817,2.007142857142857,4,1.0,34.0,17.5,24.323999999999998,201.0,50.25,True
IND627117AAA,IND629001AAA,1.825925925925926,2.5357983682983685,1.6125,22,1.0,38.0,17.0,18.5521,507.0,23.045454545454547,True
IND627401AAA,IND627005AAA,1.9629629629629628,2.9515181115181113,2.054054054054054,20,1.0,41.0,18.0,19.20045,619.0,30.95,True
IND627657AAA,IND628613AAA,1.1622807017543861,1.288668242638186,1.0138888888888888,36,0.4166666666666667,12.0,15.0,10.5903,-5.0,-0.1388888888888889,False
IND627756AAA,IND626117AAA,1.7207792207792207,1.788686554990903,1.6270114942528735,24,1.0,23.5,14.0,15.835349999999998,396.0,16.5,True
IND627811AAA,IND627401AAA,1.5683229813664596,1.8420619235836628,1.5245441795231418,12,1.0,31.0,16.5,18.3626,228.0,19.0,True
IND628204AAA,IND627657AAA,1.1538461538461535,1.1845864205239205,1.1742424242424243,48,0.4166666666666667,12.0,11.0,10.748650000000001,229.0,4.770833333333333,False
IND628613AAA,IND627005AAA,1.3333333333333333,1.334759625202053,1.6153846153846154,37,0.6756756756756757,16.0,12.0,13.9905,648.0,17.513513513513512,True
IND628801AAA,IND628204AAA,1.4722222222222223,1.4550429894179893,1.4246323529411766,24,1.0,11.0,8.0,9.0397,127.0,5.291666666666667,True
IND629179AAA,IND627005AAA,2.0930232558139537,2.1834081540683044,2.0307692307692307,43,1.0,50.0,23.0,27.9949,2856.0,66.4186046511628,True
IND630002AAA,IND622407AAA,1.3762626262626263,1.4151475952333794,1.366600790513834,18,0.8333333333333334,37.0,25.0,25.26345,271.0,15.055555555555555,True
IND630561AAA,IND623407AAA,1.8333333333333333,2.004090909090909,1.7142857142857142,55,1.0,11.0,6.0,9.7489,878.0,15.963636363636363,True
IND630561AAA,IND623701AAA,1.403985507246377,1.6696362622884362,1.3846153846153846,10,1.0,32.0,18.0,20.300150000000002,145.0,14.5,True
IND631003AAA,IND600056AAB,2.1,2.6474937870771202,2.909090909090909,18,1.0,26.0,12.5,13.38035,973.0,54.05555555555556,True
IND631102AAA,IND600056AAB,1.660919540229885,2.625476581848812,1.6284461152882206,36,1.0,43.0,26.0,28.9394,1399.0,38.861111111111114,True
IND631501AAA,IND600056AAB,3.341269841269842,10.368894108255809,2.231481481481482,4,0.75,26.5,10.0,11.2663,1673.0,418.25,True
IND631501AAA,IND631003AAA,2.142857142857143,2.7727898027898026,3.1666666666666665,15,1.0,15.0,7.0,9.0926,613.0,40.86666666666667,True
IND632006AAA,IND562132AAA,1.6145833333333335,1.6955053621240748,1.5774147727272727,18,1.0,43.0,24.0,28.03505,1608.0,89.33333333333333,True
IND632006AAA,IND600056AAB,1.5669642857142856,1.6744490966865313,1.781929347826087,68,0.7941176470588235,34.0,21.0,28.5126,2949.0,43.36764705882353,True
IND632006AAA,IND632301AAA,2.4,2.2248858146684234,1.7777217741935485,20,1.0,33.0,16.0,20.14975,474.0,23.7,True
IND632006AAA,IND632402AAA,2.9523809523809526,4.643262987012987,2.9523809523809526,8,1.0,62.0,21.5,23.6773,657.0,82.125,True
IND632006AAA,IND635802AAB,1.2857142857142858,1.247113997113997,1.3056478405315615,6,0.8333333333333334,28.0,21.0,23.0335,44.0,7.333333333333333,True
IND632301AAA,IND606803AAA,2.15,2.0629705577074002,2.15,9,1.0,41.0,20.0,23.2538,191.0,21.22222222222222,True
IND632402AAA,IND631102AAA,1.5217391304347827,2.0175271739130434,1.5217391304347827,16,0.8125,35.0,23.0,25.5599,239.0,14.9375,True
IND635001AAA,IND562132AAA,1.4696029776674937,1.9339834407744843,1.5368508221933042,20,0.75,42.0,24.0,25.67725,965.0,48.25,True
IND635001AAA,IND636705AAB,1.284090909090909,1.1863765763222285,1.402972027972028,12,0.5833333333333334,29.5,22.0,23.98655,184.0,15.333333333333334,True
IND635601AAB,IND635802AAB,3.1666666666666665,4.283908095271732,4.0,33,0.8181818181818182,19.0,9.0,10.508,2394.0,72.54545454545455,True
IND635802AAB,IND562132AAA,1.5588235294117647,1.6182762865082303,1.5588235294117647,41,0.7804878048780488,40.0,25.0,28.9087,2497.0,60.90243902439025,True
IND635802AAB,IND635601AAB,1.625,2.041235827664399,2.333333333333333,35,0.8285714285714286,14.0,7.0,9.715,919.0,26.257142857142856,True
IND636005AAA,IND636005AAC,5.083333333333333,5.083333333333333,5.083333333333333,1,1.0,61.0,12.0,15.441,49.0,49.0,True
IND636005AAA,IND636016AAA,2.0,2.1222222222222222,2.0,3,1.0,18.0,9.0,10.0184,31.0,10.333333333333334,True
IND636016AAA,IND636402AAA,1.198717948717949,1.4327616827616827,1.2724618149146452,6,0.5,15.5,13.5,11.28565,177.0,29.5,False
IND636016AAA,IND637211AAA,1.4365079365079365,1.4615251832790535,1.1756756756756757,50,0.58,13.0,9.0,9.81015,362.0,7.24,True
IND636102AAA,IND605601AAA,1.2857142857142858,1.2495297854316723,1.3103448275862069,25,0.56,27.0,26.0,34.423199999999994,525.0,21.0,True
IND636352AAA,IND636705AAB,1.6,1.6037671957671962,1.6,5,1.0,40.0,25.0,27.303,79.0,15.8,True
IND636705AAB,IND562132AAA,1.4402298850574713,1.681503041835215,1.6305230288836845,30,0.9333333333333333,47.0,25.0,26.952399999999997,1933.0,64.43333333333334,True
IND636705AAB,IND635001AAA,1.181818181818182,2.0744180939833115,1.3404255319148937,11,0.45454545454545453,25.0,22.0,24.2673,163.0,14.818181818181818,False
IND637211AAA,IND636402AAA,1.3846153846153846,1.8814951338254506,1.3488372093023255,65,0.7538461538461538,16.0,12.0,10.2675,1070.0,16.46153846153846,True
IND637301AAA,IND638001AAA,1.8529411764705879,1.9107155142758856,1.8529411764705879,10,1.0,32.0,18.0,21.73915,162.0,16.2,True
IND637408AAA,IND637001AAA,1.619047619047619,2.1548898418858173,1.6923076923076923,19,0.7894736842105263,30.0,19.0,23.7421,360.0,18.94736842105263,True
IND638001AAA,IND638052AAA,2.1666666666666665,2.133986928104575,2.1666666666666665,3,1.0,37.0,17.0,18.6761,59.0,19.666666666666668,True
IND638401AAA,IND638452AAA,1.0,1.5351045751633987,1.0833333333333333,25,0.28,12.0,10.0,11.2725,37.0,1.48,False
IND638452AAA,IND638501AAB,1.2,1.7089064558629776,1.0909090909090908,5,0.4,12.0,10.0,9.7003,20.0,4.0,False
IND638501AAB,IND641062AAD,1.3333333333333333,1.6106001186259098,1.3377192982456139,70,0.6,12.0,10.0,10.8877,1578.0,22.542857142857144,True
IND638657AAA,IND638701AAA,1.5,1.9137887951841441,1.4,43,0.7441860465116279,12.0,8.0,9.5736,381.0,8.86046511627907,True
IND638701AAA,IND641607AAA,1.845238095238095,3.2408490429323766,1.9544513457556936,36,0.9722222222222222,15.5,8.0,9.05685,785.0,21.805555555555557,True
IND639001AAA,IND624001AAA,1.64,1.6675392223928571,1.6181818181818182,27,0.9629629629629629,32.0,18.0,25.6406,654.0,24.22222222222222,True
IND639104AAB,IND620012AAA,1.013685239491691,1.013685239491691,1.5378787878787878,2,0.5,33.0,32.0,34.8202,41.0,20.5,False
IND641001AAA,IND641062AAD,2.0,3.8764870050584332,1.32,7,0.8571428571428571,16.0,10.0,10.2297,329.0,47.0,True
IND641006AAD,IND641062AAD,1.6,1.5928571428571427,1.5555555555555556,3,1.0,10.0,7.0,8.3944,35.0,11.666666666666666,True
IND641008AAA,IND641001AAA,2.0588235294117645,2.2670825906120022,2.0588235294117645,3,1.0,34.0,12.0,12.6194,50.0,16.666666666666668,True
IND641011AAA,IND641062AAD,2.125,4.282208508403361,1.8238095238095235,16,0.9375,23.5,10.0,9.62695,793.0,49.5625,True
IND641062AAD,IND638401AAA,1.7142857142857142,1.803783897262158,1.7303030303030305,46,0.9347826086956522,14.0,8.0,10.738700000000001,923.0,20.065217391304348,True
IND641062AAD,IND641008AAA,1.8928571428571428,2.890873015873016,3.011764705882353,4,0.75,16.5,9.5,8.988949999999999,206.0,51.5,True
IND641062AAD,IND641607AAA,1.6346153846153846,1.4662910824807376,1.712820512820513,20,0.75,42.0,24.5,29.05695,439.0,21.95,True
IND641062AAD,IND642126AAA,1.3333333333333333,1.9734835876280912,1.3432835820895523,83,0.8192771084337349,13.0,9.0,9.9814,1508.0,18.16867469879518,True
IND641062AAD,IND643217AAA,1.4087301587301586,2.151851851851852,2.866320264525272,6,1.0,14.5,9.5,10.767900000000001,595.0,99.16666666666667,True
IND641062AAD,IND643231AAA,1.746031746031746,2.3445786912892177,2.8564102564102565,66,0.9696969696969697,14.0,9.0,9.9653,4774.0,72.33333333333333,True
IND641607AAA,IND641062AAD,1.7954545454545454,2.6957375347764363,1.8448275862068966,38,1.0,37.5,21.0,25.8703,1291.0,33.973684210526315,True
IND641607AAA,IND641654AAA,2.0,2.1317357245928674,2.0,14,1.0,16.0,8.0,9.15565,205.0,14.642857142857142,True
IND641607AAA,IND641664AAA,1.7583333333333333,1.8127104377104377,1.75,6,1.0,19.5,10.5,10.82225,74.0,12.333333333333334,True
IND641654AAA,IND641664AAA,1.6,1.496611705288176,1.5272727272727273,20,0.65,14.0,10.5,11.564499999999999,165.0,8.25,True
IND641664AAA,IND638657AAA,1.4365079365079365,1.5418699986881805,1.373044096728307,44,0.8636363636363636,13.0,9.0,9.967600000000001,460.0,10.454545454545455,True
IND642001AAA,IND641062AAD,1.4083333333333332,1.63728651546634,1.4166666666666667,72,0.8055555555555556,13.0,10.0,9.99025,1358.0,18.86111111111111,True
IND642126AAA,IND642001AAA,1.3333333333333333,1.508167858711337,1.3078947368421052,46,0.7608695652173914,12.0,8.0,9.3657,334.0,7.260869565217392,True
IND643001AAA,IND643212AAA,2.481060606060606,2.5407061688311687,2.4046934865900385,12,1.0,28.5,12.0,16.9718,463.0,38.583333333333336,True
